NodeNo	x	y	T	qx	qy
1	0.000000	0.000000	77.541270	78.683367	-3455.347265
2	1.000000	0.000000	70.491931	2932.175616	-3148.585573
3	1.000000	1.000000	100.000000	771.762177	-12749.525789
4	0.000000	1.000000	100.000000	2.589768	-5186.236622
5	0.062500	0.000000	77.516753	157.511847	-3427.936403
6	0.125000	0.000000	77.443018	316.213064	-3424.836030
7	0.187500	0.000000	77.319511	477.265359	-3419.621903
8	0.250000	0.000000	77.145322	641.768516	-3412.222646
9	0.312500	0.000000	76.919215	810.726846	-3402.539062
10	0.375000	0.000000	76.639656	985.011641	-3390.443567
11	0.437500	0.000000	76.304867	1165.316805	-3375.781197
12	0.500000	0.000000	75.912885	1352.113447	-3358.372873
13	0.562500	0.000000	75.461641	1545.604805	-3338.019338
14	0.625000	0.000000	74.949046	1745.682845	-3314.507060
15	0.687500	0.000000	74.373101	1951.893582	-3287.618084
16	0.750000	0.000000	73.732002	2163.422743	-3257.144199
17	0.812500	0.000000	73.024255	2379.115334	-3222.907107
18	0.875000	0.000000	72.248773	2597.575651	-3184.809498
19	0.937500	0.000000	71.404918	2817.974340	-3143.417129
20	1.000000	0.062500	71.472546	3001.783060	-3254.185959
21	1.000000	0.125000	72.521052	3051.104703	-3476.865703
22	1.000000	0.187500	73.640383	3103.903343	-3708.708194
23	1.000000	0.250000	74.833531	3159.516812	-3951.414607
24	1.000000	0.312500	76.104319	3217.867924	-4208.045441
25	1.000000	0.375000	77.457646	3278.875662	-4482.535955
26	1.000000	0.437500	78.899806	3342.380282	-4780.015167
27	1.000000	0.500000	80.438926	3408.064101	-5107.396786
28	1.000000	0.562500	82.085658	3475.302978	-5474.384839
29	1.000000	0.625000	83.854265	3542.851144	-5895.279584
30	1.000000	0.687500	85.764479	3608.101365	-6392.503729
31	1.000000	0.750000	87.844892	3665.089339	-7004.334667
32	1.000000	0.812500	90.139942	3697.877308	-7805.063125
33	1.000000	0.875000	92.727077	3649.113315	-8975.706668
34	1.000000	0.937500	95.774598	3042.139428	-11346.540284
35	0.937500	1.000000	100.000000	381.496416	-10833.274364
36	0.875000	1.000000	100.000000	201.658768	-9083.808813
37	0.812500	1.000000	100.000000	131.741202	-8083.608902
38	0.750000	1.000000	100.000000	95.022110	-7403.318965
39	0.687500	1.000000	100.000000	72.396767	-6901.062334
40	0.625000	1.000000	100.000000	56.978792	-6512.935656
41	0.562500	1.000000	100.000000	45.706050	-6204.881129
42	0.500000	1.000000	100.000000	37.015597	-5956.716187
43	0.437500	1.000000	100.000000	30.026601	-5755.589594
44	0.375000	1.000000	100.000000	24.203338	-5592.899778
45	0.312500	1.000000	100.000000	19.198968	-5462.692860
46	0.250000	1.000000	100.000000	14.776185	-5360.767399
47	0.187500	1.000000	100.000000	10.763782	-5284.147497
48	0.125000	1.000000	100.000000	7.031321	-5230.762188
49	0.062500	1.000000	100.000000	3.473639	-5199.247307
50	0.000000	0.937500	98.380110	6.865167	-5175.053897
51	0.000000	0.875000	96.766658	13.571651	-5144.335309
52	0.000000	0.812500	95.165930	19.971582	-5093.919133
53	0.000000	0.750000	93.583929	25.938750	-5024.921619
54	0.000000	0.687500	92.026248	31.374214	-4938.796014
55	0.000000	0.625000	90.497986	36.210140	-4837.248439
56	0.000000	0.562500	89.003675	40.408224	-4722.140781
57	0.000000	0.500000	87.547253	43.957974	-4595.410758
58	0.000000	0.437500	86.132048	46.870308	-4458.989659
59	0.000000	0.375000	84.760790	49.171665	-4314.755615
60	0.000000	0.312500	83.435639	50.897325	-4164.488008
61	0.000000	0.250000	82.158211	52.087274	-4009.857473
62	0.000000	0.187500	80.929624	52.780935	-3852.408771
63	0.000000	0.125000	79.750527	53.013233	-3693.579956
64	0.000000	0.062500	78.621138	52.812715	-3534.708134
65	0.500000	0.500000	86.117290	1232.593012	-4886.721722
66	0.750000	0.250000	78.264447	2215.462313	-4122.946462
67	0.250000	0.250000	81.761990	669.024030	-4059.933694
68	0.250000	0.750000	93.383103	351.949161	-5157.216778
69	0.750000	0.750000	91.208721	1687.089497	-6363.271726
70	0.375000	0.125000	78.833433	1000.813623	-3689.635362
71	0.125000	0.125000	79.650718	347.236794	-3720.511213
72	0.625000	0.125000	77.106769	1782.843165	-3659.688942
73	0.500000	0.250000	80.515826	1374.530680	-4076.397076
74	0.875000	0.125000	74.332511	2634.416879	-3600.681532
75	0.625000	0.375000	82.224676	1725.584519	-4579.771390
76	0.375000	0.375000	83.900000	976.955907	-4448.112931
77	0.125000	0.375000	84.668048	297.641519	-4326.697473
78	0.250000	0.500000	87.210238	549.086737	-4672.044789
79	0.125000	0.625000	90.429481	220.192609	-4864.430288
80	0.375000	0.625000	89.850598	761.044028	-5067.328672
81	0.125000	0.875000	96.740915	93.514967	-5182.111125
82	0.875000	0.375000	79.388191	2804.695582	-4565.987055
83	0.875000	0.625000	85.884315	2810.918167	-5922.938316
84	0.750000	0.500000	84.001391	2210.839651	-5134.355353
85	0.875000	0.875000	94.554733	1872.063781	-7995.444302
86	0.625000	0.625000	88.502685	1461.210570	-5460.440136
87	0.625000	0.875000	95.964689	657.419662	-6364.226134
88	0.375000	0.875000	96.519344	284.933006	-5529.562109
89	0.500000	0.750000	92.703389	798.189708	-5621.368832
90	0.187500	0.062500	78.396746	481.726428	-3528.752847
91	0.062500	0.062500	78.596333	185.521654	-3560.393636
92	0.312500	0.062500	77.991595	818.570855	-3517.715181
93	0.250000	0.125000	79.348110	651.004148	-3692.897267
94	0.437500	0.062500	77.369540	1177.171389	-3499.143777
95	0.312500	0.187500	80.299104	821.544835	-3866.802664
96	0.187500	0.187500	80.705171	509.068981	-3886.009710
97	0.562500	0.062500	76.515247	1562.340917	-3470.510467
98	0.500000	0.125000	78.092259	1376.952881	-3680.290039
99	0.562500	0.187500	78.810668	1582.384517	-3876.618544
100	0.437500	0.187500	79.673617	1186.082429	-3874.932328
101	0.687500	0.187500	77.689440	2012.326034	-3863.135265
102	0.625000	0.250000	79.527809	1795.430779	-4090.160006
103	0.375000	0.250000	81.253056	992.175183	-4053.496570
104	0.687500	0.062500	75.411634	1974.539281	-3428.502088
105	0.812500	0.062500	74.043028	2408.625317	-3369.500403
106	0.750000	0.125000	75.858571	2216.551972	-3621.324822
107	0.937500	0.062500	72.398807	2820.287297	-3332.406282
108	0.812500	0.187500	76.289955	2433.789535	-3866.327435
109	0.437500	0.312500	82.214609	1162.367522	-4256.644514
110	0.312500	0.312500	82.825072	825.422191	-4245.853813
111	0.562500	0.312500	81.364497	1567.479703	-4297.515690
112	0.500000	0.375000	83.189740	1332.414774	-4480.883022
113	0.687500	0.312500	80.246567	1978.699832	-4363.333595
114	0.562500	0.437500	84.185850	1461.542418	-4765.126545
115	0.437500	0.437500	84.994210	1122.722958	-4672.197007
116	0.062500	0.187500	80.904827	158.696977	-3853.087429
117	0.125000	0.250000	82.060078	314.766815	-4015.374103
118	0.062500	0.312500	83.411716	153.102807	-4166.654782
119	0.187500	0.312500	83.218835	465.723237	-4183.606324
120	0.062500	0.437500	86.110004	141.078985	-4462.883796
121	0.250000	0.375000	84.385480	609.188574	-4361.479109
122	0.187500	0.437500	85.931919	430.655215	-4493.712981
123	0.187500	0.562500	88.830639	373.144463	-4774.394802
124	0.125000	0.500000	87.464224	266.662127	-4614.722779
125	0.250000	0.625000	90.218975	456.531000	-4946.427450
126	0.187500	0.687500	91.891495	291.232926	-5008.826145
127	0.062500	0.562500	88.984656	121.721986	-4727.951067
128	0.312500	0.437500	85.566382	742.881787	-4553.410879
129	0.375000	0.500000	86.770149	864.484699	-4764.815907
130	0.312500	0.562500	88.512378	649.587192	-4866.779340
131	0.437500	0.562500	88.008048	1008.821254	-4980.449823
132	0.312500	0.687500	91.641810	539.654549	-5123.957180
133	0.062500	0.687500	92.011470	94.583295	-4946.526096
134	0.125000	0.750000	93.534781	158.092853	-5059.424571
135	0.062500	0.812500	95.156516	60.248270	-5103.251972
136	0.187500	0.812500	95.079934	202.466488	-5174.425456
137	0.062500	0.937500	98.376873	25.969832	-5185.280149
